Designator,Comment,Footprint,Reason,Qty,LCSC Part#, Name, Cost
R3,383,0201,NOT IN STOCK,2,C423551,0201WMF3830TEE, $0.0005
C6,44uF,0603,Couldn't Find ON LCSC,2,,
